"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.468476130E2,6.505350813E1,2.546536305E1,7.702520473E0,1.230000019E0,1.895000000E2,3.790092468E0,2.500000000E0
1.478460252E2,6.505349538E1,2.546536288E1,7.785472122E0,1.259999990E0,1.825000000E2,3.790092468E0,2.500000000E0
1.488486672E2,6.505348276E1,2.546536398E1,7.923172390E0,1.269999981E0,1.776999969E2,3.790092468E0,2.500000000E0
1.498451017E2,6.505346981E1,2.546536387E1,7.999105079E0,1.299999952E0,1.790000000E2,3.790092468E0,2.500000000E0
1.508452136E2,6.505345603E1,2.546536300E1,8.097559979E0,1.299999952E0,1.823999939E2,3.790092468E0,2.500000000E0
1.518489767E2,6.505344359E1,2.546536036E1,8.233733905E0,1.220000029E0,1.846999969E2,3.790092468E0,2.500000000E0
1.528460663E2,6.505343111E1,2.546536217E1,8.396702750E0,1.259999990E0,1.786999969E2,3.790092468E0,2.500000000E0
1.538483842E2,6.505341744E1,2.546536497E1,8.638956823E0,1.289999962E0,1.765000000E2,3.790092468E0,2.500000000E0
1.548471153E2,6.505340515E1,2.546536861E1,8.667282233E0,1.200000048E0,1.821000061E2,3.790092468E0,2.500000000E0
1.558486606E2,6.505339184E1,2.546536959E1,8.302358241E0,1.340000033E0,1.788000031E2,3.790092468E0,2.500000000E0
1.568485786E2,6.505337998E1,2.546536878E1,8.555902743E0,1.200000048E0,1.808000031E2,3.790092468E0,2.500000000E0
1.578470333E2,6.505336851E1,2.546537102E1,8.719237457E0,1.240000010E0,1.811000061E2,3.790092468E0,2.500000000E0
1.588440888E2,6.505335746E1,2.546537099E1,8.209659172E0,1.230000019E0,1.863000031E2,3.790092468E0,2.500000000E0
1.598452861E2,6.505334534E1,2.546536926E1,7.956550844E0,1.250000000E0,1.841999969E2,3.790092468E0,2.500000000E0
1.608490580E2,6.505333297E1,2.546536879E1,8.399365597E0,1.279999971E0,1.823999939E2,3.790092468E0,2.500000000E0
1.618487358E2,6.505331920E1,2.546536694E1,8.451311601E0,1.279999971E0,1.826000061E2,3.790092468E0,2.500000000E0
1.628486428E2,6.505330539E1,2.546536803E1,8.425316036E0,1.320000052E0,1.803000031E2,3.790092468E0,2.500000000E0
1.638487980E2,6.505329289E1,2.546536894E1,8.276456179E0,1.240000010E0,1.825000000E2,3.790092468E0,2.500000000E0
1.648487246E2,6.505328076E1,2.546537029E1,8.199068395E0,1.259999990E0,1.796999969E2,3.790092468E0,2.500000000E0
1.658486478E2,6.505326994E1,2.546537262E1,8.342749548E0,1.210000038E0,1.748000031E2,3.790092468E0,2.500000000E0
1.668447039E2,6.505325963E1,2.546537582E1,8.297954035E0,1.220000029E0,1.698000031E2,3.790092468E0,2.500000000E0
1.678485576E2,6.505324824E1,2.546537325E1,7.597091433E0,1.279999971E0,1.873000031E2,3.790092468E0,2.500000000E0
1.688491860E2,6.505323622E1,2.546537235E1,7.778370362E0,1.289999962E0,1.773999939E2,3.790092468E0,2.500000000E0
1.698472722E2,6.505322706E1,2.546537104E1,7.661552447E0,1.059999943E0,1.793000031E2,3.790092468E0,2.500000000E0
1.708491891E2,6.505321972E1,2.546537332E1,7.635188315E0,9.700000286E-1,1.743000031E2,3.790092468E0,2.500000000E0
1.718466843E2,6.505321030E1,2.546537291E1,8.156065908E0,1.159999967E0,1.768000031E2,3.790092468E0,2.500000000E0
1.728435026E2,6.505320543E1,2.546536727E1,7.811279584E0,7.099999785E-1,1.901000061E2,3.790092468E0,2.500000000E0
1.738451838E2,6.505319907E1,2.546536147E1,7.788210123E0,6.800000072E-1,1.828999939E2,3.790092468E0,2.500000000E0
1.748470600E2,6.505319319E1,2.546535952E1,7.634464614E0,7.300000191E-1,1.831000061E2,3.790092468E0,2.500000000E0
1.758475921E2,6.505318448E1,2.546535766E1,7.806770005E0,9.100000262E-1,1.786999969E2,3.790092468E0,2.500000000E0
1.768476175E2,6.505317552E1,2.546535824E1,8.186412174E0,8.899999857E-1,1.763999939E2,3.790092468E0,2.500000000E0
1.778459770E2,6.505316724E1,2.546535579E1,7.997328177E0,8.299999833E-1,1.810000000E2,3.790092468E0,2.500000000E0
1.788487472E2,6.505315964E1,2.546535252E1,7.820511900E0,8.600000143E-1,1.866000061E2,3.790092468E0,2.500000000E0
1.798493697E2,6.505315144E1,2.546535372E1,8.017841832E0,8.899999857E-1,1.796000061E2,3.790092468E0,2.500000000E0
1.808487762E2,6.505314330E1,2.546535195E1,8.250022501E0,8.600000143E-1,1.898000031E2,3.790092468E0,2.500000000E0
1.818497727E2,6.505313489E1,2.546535326E1,8.415980455E0,8.299999833E-1,1.835000000E2,3.790092468E0,2.500000000E0
1.828466386E2,6.505312704E1,2.546535708E1,8.305327129E0,7.900000215E-1,1.811999969E2,3.790092468E0,2.500000000E0
1.838479226E2,6.505311965E1,2.546535771E1,8.329194776E0,7.500000000E-1,1.811000061E2,3.790092468E0,2.500000000E0
1.848436759E2,6.505311092E1,2.546536133E1,8.589269305E0,8.000000119E-1,1.741999969E2,3.790092468E0,2.500000000E0
1.858487307E2,6.505310257E1,2.546536156E1,8.371010813E0,7.699999809E-1,1.843999939E2,3.790092468E0,2.500000000E0
1.868465599E2,6.505309407E1,2.546536198E1,8.457134723E0,8.500000238E-1,1.838000031E2,3.790092468E0,2.500000000E0
1.878486637E2,6.505308770E1,2.546536586E1,8.613204469E0,7.799999714E-1,1.780000000E2,3.790092468E0,2.500000000E0
1.888495604E2,6.505308008E1,2.546536529E1,8.977953425E0,7.500000000E-1,1.901999969E2,3.790092468E0,2.500000000E0
1.898489375E2,6.505307265E1,2.546536801E1,9.233266619E0,6.999999881E-1,1.758000031E2,3.790092468E0,2.500000000E0
1.908478187E2,6.505306498E1,2.546536839E1,9.381157784E0,7.300000191E-1,1.875000000E2,3.790092468E0,2.500000000E0
1.918490597E2,6.505305707E1,2.546536924E1,9.451107196E0,7.400000095E-1,1.793999939E2,3.790092468E0,2.500000000E0
1.928460613E2,6.505304983E1,2.546536911E1,9.231017185E0,7.200000286E-1,1.876999969E2,3.790092468E0,2.500000000E0
