"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.020285381E0,-1.620551944E-1,-1.095018387E-1,1.244606972E-1
1.025308610E0,-2.980272174E-1,-1.579837799E-1,4.228496552E-2
1.030446995E0,-3.765091896E-1,-1.610622406E-1,1.077842712E-2
1.035470172E0,-4.221174717E-1,-7.133197784E-2,2.011871338E-2
1.040493402E0,-4.038703442E-1,3.520965576E-3,-8.962631226E-2
1.045516631E0,-4.080467224E-1,5.165004730E-2,-1.677246094E-1
1.050539808E0,-3.940788507E-1,1.112508774E-1,-2.332568169E-1
1.055563037E0,-3.812146187E-1,1.751422882E-1,-3.507235050E-1
1.060712933E0,-3.788895607E-1,2.028532028E-1,-3.412272930E-1
1.065736110E0,-3.442099094E-1,2.255153656E-1,-3.626565933E-1
1.070759339E0,-3.633152843E-1,2.098560333E-1,-5.151658058E-1
1.075782568E0,-4.357608557E-1,1.038389206E-1,-5.887811184E-1
1.080805745E0,-5.445501804E-1,-1.101684570E-2,-5.648746490E-1
1.085828975E0,-6.201969385E-1,-7.739353180E-2,-5.346035957E-1
1.090948245E0,-5.221701264E-1,-6.219577789E-2,-4.383034706E-1
1.095971422E0,-4.038594961E-1,-5.414199829E-2,-3.523201942E-1
1.100994652E0,-2.937243581E-1,-6.999969482E-2,-2.977695465E-1
1.106017881E0,-1.964223385E-1,-1.382493973E-1,-1.815428734E-1
1.111041058E0,-1.880236864E-1,-1.515207291E-1,-3.931188583E-2
1.116064287E0,-1.343567967E-1,-1.457786560E-1,9.535074234E-2
1.121206266E0,-9.137034416E-3,-9.259319305E-2,1.464405060E-1
1.126229443E0,1.444901228E-1,-2.318286896E-2,1.286783218E-1
1.131252672E0,2.451205254E-1,-2.343177795E-2,1.843738556E-2
1.136275902E0,1.597725749E-1,-6.669712067E-2,3.299188614E-2
1.141299079E0,1.041494012E-1,-9.309005737E-2,8.342504501E-2
1.146322308E0,4.238873720E-2,-5.722904205E-2,-1.196956635E-2
1.151487829E0,-6.526172161E-3,7.292747498E-3,-1.263184547E-1
1.156511006E0,4.545539618E-2,2.594947815E-3,-1.952195168E-1
1.161534235E0,1.141629219E-1,2.179718018E-2,-2.065949440E-1
1.166557464E0,1.255508065E-1,-2.141952515E-3,-1.150650978E-1
1.171580641E0,7.960885763E-2,-1.428031921E-2,1.229572296E-2
1.176603870E0,7.677870989E-2,-1.239585876E-2,4.201841354E-2
1.181627100E0,3.583657742E-2,-1.077461243E-2,-6.379365921E-2
1.186780954E0,2.365779877E-2,-4.270935059E-2,-1.091918945E-1
1.191804131E0,6.395280361E-3,-4.595565796E-2,-1.185393333E-1
1.196827360E0,-3.954595327E-2,-3.509902954E-2,-9.640598297E-2
1.201850589E0,-3.769302368E-2,-5.442619324E-3,-8.105516434E-2
1.206873766E0,1.413309574E-2,1.678752899E-2,-8.695936203E-2
1.211896510E0,5.384445190E-2,4.373931885E-2,-1.525554657E-1
1.216919740E0,-4.963654280E-2,-1.286315918E-2,-1.583118439E-1
1.221942917E0,-1.070170403E-1,-5.952930450E-2,-8.797025681E-2
1.227087396E0,-1.471011043E-1,-8.666324615E-2,-7.325267792E-2
1.232110573E0,-1.605604887E-1,-1.206474304E-1,-5.896186829E-2
1.237133802E0,-1.524868608E-1,-1.210927963E-1,3.875732422E-2
1.242157031E0,-1.397502422E-1,-9.069061279E-2,9.584665298E-2
1.247180208E0,-1.316596866E-1,-6.992721558E-2,1.216540337E-1
1.252203437E0,-9.773063660E-2,-9.711360931E-2,1.097598076E-1
1.257226615E0,-1.046704650E-1,-1.124401093E-1,9.844303131E-2
1.262384427E0,-1.261072159E-1,-1.279563904E-1,7.595109940E-2
1.267407656E0,-1.189982295E-1,-1.529512405E-1,2.534580231E-2
1.272430833E0,-1.097896099E-1,-1.541147232E-1,-4.122209549E-2
1.277454062E0,-7.698339224E-2,-1.552648544E-1,-1.001248360E-1
1.282477292E0,-8.606433868E-3,-1.041049957E-1,-1.466937065E-1
1.287500469E0,2.127927542E-2,-9.362220764E-2,-2.430205345E-1
1.292707292E0,6.299620867E-2,-3.559398651E-2,-2.698640823E-1
1.297730521E0,1.188597083E-1,-6.398200989E-3,-2.753889561E-1
1.302753750E0,1.175030470E-1,2.280044556E-2,-3.027133942E-1
1.307776927E0,1.450536251E-1,6.838798523E-3,-2.636773586E-1
1.312800208E0,1.180974245E-1,-3.733444214E-2,-2.157390118E-1
1.317823385E0,8.692973852E-2,-5.717658997E-2,-2.612252235E-1
1.322846562E0,9.434801340E-2,-3.863716125E-2,-3.043448925E-1
1.327869792E0,8.744972944E-2,-4.862213135E-2,-3.996543884E-1
1.332893021E0,3.074991703E-2,-5.593776703E-2,-4.185969830E-1
1.337916198E0,-4.003185034E-2,-8.920192719E-2,-3.806862831E-1
1.343105729E0,-8.438241482E-2,-9.124946594E-2,-3.123915195E-1
1.348128906E0,-5.259436369E-2,-1.241607666E-1,-2.660944462E-1
1.353152083E0,1.419907808E-2,-1.141796112E-1,-2.365767956E-1
1.358175312E0,2.299767733E-2,-1.305932999E-1,-1.998691559E-1
1.363198490E0,-3.030353785E-2,-1.256637573E-1,-1.916515827E-1
1.368221771E0,-8.119821548E-2,-1.589775085E-1,-2.116689682E-1
1.373244948E0,-1.034164429E-1,-1.398735046E-1,-2.550566196E-1
1.378448021E0,-8.535987139E-2,-1.400108337E-1,-3.407258987E-1
1.383471250E0,-4.604446888E-2,-1.614055634E-1,-3.855526447E-1
1.388494427E0,-4.729396105E-2,-1.753053665E-1,-3.757529259E-1
1.393517656E0,-4.359948635E-2,-1.699018478E-1,-3.948996067E-1
1.398540885E0,-7.542723417E-2,-1.500396729E-1,-4.714183807E-1
